	21123	POS
violated	5	POS
waif	4	POS
NOT_predict	7	POS
atlanteans	1	POS
bodas	1	POS
posted	31	POS
lespert	2	POS
concerns	79	POS
longer	216	POS
NOT_paperhouse	1	POS
wait	187	POS
kiesser	1	POS
frolics	4	POS
reich	10	POS
acin	1	POS
tenant	63	POS
petrucci	1	POS
doubling	2	POS
horrifically	5	POS
NOT_willie	3	POS
salem	19	POS
flags	8	POS
sales	18	POS
silvestres	1	POS
idiots	25	POS
phlegm	1	POS
NOT_willis	3	POS
NOT_itself	70	POS
meds	2	POS
convenience	11	POS
guffman	1	POS
aste	1	POS
duplicate	2	POS
leering	8	POS
asta	1	POS
stalling	2	POS
NOT_arthur	6	POS
divulged	2	POS
flagrantly	2	POS
nastiness	3	POS
bearcats	1	POS
accelerating	1	POS
pitfall	1	POS
divulges	3	POS
NOT_sophistication	1	POS
valued	9	POS
studded	9	POS
rapprochement	2	POS
alan	217	POS
pumpkins	1	POS
salacious	9	POS
NOT_apologise	1	POS
superhero	59	POS
mccaughan	1	POS
schamus	1	POS
gotham	12	POS
weaned	2	POS
valiantly	1	POS
skala	3	POS
studder	1	POS
alas	52	POS
rythym	1	POS
savala	1	POS
velvets	1	POS
NOT_marty	2	POS
cowgirls	7	POS
velvety	3	POS
beutiful	2	POS
bellevue	1	POS
jiving	1	POS
palladium	1	POS
NOT_expendable	1	POS
morti	1	POS
hummable	3	POS
saratoga	1	POS
fantasies	35	POS
humbling	4	POS
sponsor	6	POS
NOT_wai	1	POS
deter	4	POS
despondently	1	POS
summarization	1	POS
ling	16	POS
crystal	35	POS
orchard	1	POS
trce	5	POS
pimping	4	POS
NOT_rides	1	POS
waifs	1	POS
haggard	10	POS
30am	2	POS
leger	1	POS
ruhr	2	POS
corby	4	POS
NOT_permeate	1	POS
NOT_craftsmen	1	POS
kavogianni	1	POS
parading	1	POS
shopping	25	POS
demoiselle	1	POS
NOT_hooting	1	POS
sudow	1	POS
artifact	2	POS
rearveiw	1	POS
posehn	2	POS
NOT_trust	23	POS
NOT_dominican	1	POS
hungary	9	POS
cartoonery	2	POS
n	194	POS
sweatshirt	1	POS
involvement	53	POS
loosing	12	POS
digits	1	POS
graceland	1	POS
adding	84	POS
hairshirts	1	POS
strike	47	POS
malleable	2	POS
toretton	1	POS
seats	25	POS
outwardly	7	POS
catharthic	1	POS
resurgence	6	POS
NOT_bribes	1	POS
strategic	4	POS
NOT_accelerator	1	POS
curling	1	POS
blouses	3	POS
drusilla	2	POS
NOT_cinema	57	POS
heartstopping	1	POS
putain	11	POS
daugther	1	POS
grooms	4	POS
altman	58	POS
ungallantly	1	POS
downfalls	2	POS
update	22	POS
pedophile	3	POS
yaburi	1	POS
NOT_tantamount	1	POS
holdouts	1	POS
jugnu	1	POS
2hours	1	POS
NOT_risqu	2	POS
jones	178	POS
NOT_summary	7	POS
counsil	1	POS
mindless	37	POS
inane	12	POS
999	11	POS
lamberto	8	POS
coattails	2	POS
tokugawa	7	POS
gerrit	1	POS
sissorhands	1	POS
siegel	8	POS
cavalier	6	POS
NOT_weeping	1	POS
paget	13	POS
NOT_loyal	3	POS
attachments	4	POS
boris	32	POS
voluptuousness	1	POS
mesmerised	3	POS
trimmings	1	POS
chulpan	1	POS
idealist	4	POS
jeannette	1	POS
definatley	2	POS
megazones	1	POS
derided	3	POS
lator	1	POS
ramonesmobile	1	POS
sartre	3	POS
NOT_staying	2	POS
woodlanders	1	POS
1984ish	1	POS
friday	66	POS
NOT_badness	2	POS
apprised	1	POS
morolla	2	POS
yummy	11	POS
NOT_digital	1	POS
trudie	1	POS
mire	1	POS
harlow	38	POS
harlot	1	POS
valentinov	3	POS
einmal	2	POS
glorification	3	POS
slowness	7	POS
hatch	9	POS
waldorf	2	POS
NOT_dummy	1	POS
supplying	5	POS
gregg	2	POS
prating	1	POS
dealers	25	POS
afflect	1	POS
NOT_fantastically	1	POS
NOT_sitcoms	3	POS
bocanegra	1	POS
augured	1	POS
bitch	24	POS
stimulated	4	POS
privileges	1	POS
kanoodling	1	POS
NOT_juice	1	POS
soloist	1	POS
conjure	12	POS
NOT_passed	9	POS
mixture	60	POS
mister	11	POS
stimulates	5	POS
NOT_pastor	1	POS
NOT_classical	1	POS
affleck	11	POS
NOT_wrapped	7	POS
chulak	1	POS
garage	15	POS
sturgess	1	POS
smaller	62	POS
popes	1	POS
clamoring	1	POS
workaholics	1	POS
magical	134	POS
descript	3	POS
NOT_check	8	POS
farceurs	2	POS
rasp	1	POS
tiempo	8	POS
NOT_dangerously	1	POS
genocidal	1	POS
wallflower	4	POS
dabbing	3	POS
outlines	6	POS
margin	4	POS
tolkin	1	POS
drovers	3	POS
growling	5	POS
trigger	23	POS
dearth	1	POS
foresight	1	POS
torturers	2	POS
outlined	3	POS
toil	5	POS
schindlers	1	POS
NOT_envisioned	4	POS
barbershop	1	POS
NOT_companions	1	POS
margit	2	POS
oliver	137	POS
ramones	71	POS
luhrmann	1	POS
gandhian	1	POS
NOT_inkling	1	POS
acceptance	49	POS
dishy	1	POS
solos	6	POS
shimono	2	POS
verve	16	POS
tholian	1	POS
NOT_stoned	1	POS
NOT_viewpoint	2	POS
pearlman	1	POS
matthews	7	POS
tattersall	2	POS
NOT_representative	3	POS
wrestled	2	POS
assult	1	POS
quella	1	POS
concerning	69	POS
wrestles	5	POS
finiteness	1	POS
expelled	7	POS
heero	11	POS
NOT_culturally	1	POS
hundredth	1	POS
affirms	6	POS
NOT_unmatchably	1	POS
fizzles	3	POS
sooni	1	POS
these	2499	POS
rekindles	2	POS
hunchback	2	POS
clerks	12	POS
wisest	1	POS
swabbie	1	POS
moonwalks	1	POS
cuff	3	POS
duplicating	1	POS
godot	1	POS
cottontail	2	POS
NOT_mercilessly	2	POS
buttons	26	POS
NOT_advocating	1	POS
recognises	2	POS
transposing	1	POS
clapton	6	POS
montag	1	POS
entei	1	POS
NOT_generates	2	POS
homelessness	2	POS
spouting	7	POS
levant	27	POS
enter	107	POS
slackens	1	POS
cellmates	1	POS
540i	1	POS
humored	2	POS
implements	3	POS
sagramore	1	POS
kidnapped	61	POS
began	173	POS
NOT_hypocrites	1	POS
redman	2	POS
NOT_surprised	49	POS
terkovsky	5	POS
latching	2	POS
opaque	4	POS
easing	1	POS
kidnapper	2	POS
spoofy	2	POS
meaning	219	POS
NOT_surprises	9	POS
NOT_peek	1	POS
kameena	1	POS
birnley	3	POS
cristies	1	POS
barmen	1	POS
kinescope	1	POS
rightness	3	POS
hesitantly	1	POS
channing	2	POS
recollected	1	POS
providence	1	POS
weirdos	1	POS
circa	23	POS
fredrik	1	POS
skeletons	7	POS
NOT_loathed	1	POS
unfulfilling	1	POS
terrorvision	2	POS
NOT_station	4	POS
langford	2	POS
multiplies	2	POS
staid	4	POS
busting	12	POS
NOT_dumbland	1	POS
sigourney	9	POS
mastermind	19	POS
NOT_inventions	2	POS
caverns	1	POS
atmosphereic	1	POS
NOT_corners	2	POS
complimenting	3	POS
NOT_bravora	1	POS
mikail	2	POS
loathed	4	POS
bases	17	POS
NOT_donald	2	POS
apprehending	1	POS
hobbits	14	POS
brassware	1	POS
loather	1	POS
loathes	3	POS
projection	20	POS
minamoto	1	POS
existence	119	POS
NOT_resolving	1	POS
lampert	1	POS
bronze	7	POS
inaugurate	1	POS
gracias	5	POS
NOT_videogames	1	POS
sangster	1	POS
malacici	2	POS
triloki	1	POS
NOT_trait	2	POS
cruelness	1	POS
imposing	18	POS
dogma	18	POS
NOT_somebody	7	POS
zomcom	5	POS
retaliates	1	POS
befriends	42	POS
judicious	6	POS
gangstermovies	1	POS
NOT_donovan	1	POS
unaired	2	POS
iii	57	POS
kerrigan	3	POS
elaboration	1	POS
elisir	1	POS
NOT_behind	39	POS
bruijning	1	POS
powerful	465	POS
considerable	59	POS
trashed	10	POS
yuwen	1	POS
start	704	POS
uill	1	POS
says	512	POS
cking	3	POS
NOT_elmore	1	POS
kedzie	1	POS
bliss	24	POS
heartbreak	10	POS
documentaries	72	POS
considerably	36	POS
qing	1	POS
sisterhood	2	POS
trashes	6	POS
nueve	1	POS
laker	1	POS
lakes	2	POS
falutin	1	POS
constructive	4	POS
synths	1	POS
registering	2	POS
outfits	29	POS
berg	1	POS
malcomx	1	POS
liking	48	POS
seamstress	3	POS
elsewise	1	POS
chekov	1	POS
fenech	5	POS
excepts	2	POS
concert	92	POS
NOT_burke	1	POS
segements	1	POS
makes	2324	POS
maker	72	POS
NOT_enjoyed	29	POS
NOT_math	2	POS
NOT_songs	29	POS
leni	1	POS
NOT_matt	2	POS
NOT_wreak	1	POS
leno	13	POS
NOT_control	17	POS
individuated	1	POS
gummer	16	POS
lend	32	POS
luftens	1	POS
synchronous	3	POS
polarization	3	POS
drk	1	POS
keira	15	POS
NOT_afterward	3	POS
NOT_levine	1	POS
supervision	3	POS
oplev	1	POS
carmella	4	POS
chocolat	16	POS
deteriorate	3	POS
NOT_overweight	1	POS
swimfan	1	POS
smallville	17	POS
cocked	2	POS
boosh	1	POS
cheerleader	6	POS
faring	3	POS
boost	22	POS
doco	5	POS
forgiving	8	POS
rosenman	4	POS
debit	3	POS
flavor	28	POS
stettner	8	POS
distinctively	4	POS
farzetta	1	POS
doin	1	POS
thielemans	1	POS
pucking	1	POS
gross	58	POS
witt	1	POS
6th	14	POS
explitive	1	POS
min	20	POS
animating	2	POS
joycelyn	6	POS
calrissian	3	POS
NOT_ryan	3	POS
NOT_estate	1	POS
doees	1	POS
slippers	5	POS
knockoff	1	POS
ashely	1	POS
NOT_peers	2	POS
goodtimes	5	POS
hinter	1	POS
horvarth	1	POS
kollo	1	POS
basset	1	POS
jewellery	1	POS
grasshopper	10	POS
NOT_claudio	1	POS
unassuming	9	POS
sequins	1	POS
mccarthyite	1	POS
NOT_buffs	1	POS
sunburn	1	POS
NOT_edie	6	POS
lacan	2	POS
NOT_priests	1	POS
NOT_buffy	2	POS
slightly	283	POS
vaults	5	POS
unloaded	1	POS
crewson	1	POS
NOT_edit	1	POS
NOT_contrary	1	POS
NOT_alda	2	POS
manpower	1	POS
NOT_poetic	1	POS
yong	1	POS
NOT_pitt	6	POS
arrive	53	POS
uttered	9	POS
overshooting	1	POS
gravest	1	POS
converts	1	POS
pealing	1	POS
manicheistic	1	POS
exporters	1	POS
jimmy	201	POS
lucidity	1	POS
NOT_reader	1	POS
NOT_moore	2	POS
gojn	1	POS
gojo	3	POS
topics	39	POS
dabbling	1	POS
gloster	2	POS
panged	1	POS
savoir	1	POS
philosophy	53	POS
contaminates	1	POS
deck	23	POS
deco	12	POS
headquartered	1	POS
contaminated	9	POS
uncapturable	1	POS
impatiently	1	POS
NOT_supermarket	2	POS
exaltation	1	POS
recherche	2	POS
survivors	49	POS
sayer	1	POS
spymate	1	POS
posteriorly	1	POS
energetically	5	POS
followers	25	POS
severity	2	POS
procedure	8	POS
NOT_vice	3	POS
unparalleled	10	POS
primadonna	1	POS
NOT_doomed	2	POS
kurush	1	POS
encompasses	11	POS
NOT_resist	12	POS
detail	194	POS
postcards	1	POS
musican	1	POS
musical	593	POS
billions	2	POS
encompassed	1	POS
curiosity	49	POS
NOT_storytelling	2	POS
gnaws	2	POS
poise	5	POS
bombings	8	POS
blabbing	1	POS
glop	1	POS
densely	1	POS
glow	18	POS
safaris	3	POS
NOT_guilty	7	POS
operations	10	POS
apolitical	1	POS
mariette	9	POS
NOT_need	141	POS
NOT_feared	4	POS
martians	24	POS
favoring	2	POS
brutality	47	POS
horroryearbook	2	POS
looted	2	POS
tisk	2	POS
NOT_bonus	3	POS
conclude	25	POS
NOT_grotesque	2	POS
NOT_topless	1	POS
gertrude	26	POS
infront	1	POS
pledge	5	POS
emil	25	POS
schilling	3	POS
voyeuristic	6	POS
leia	30	POS
NOT_gabriel	1	POS
littering	4	POS
daisens	1	POS
NOT_outdone	1	POS
concho	5	POS
NOT_kang	1	POS
NOT_kane	3	POS
coronation	4	POS
packs	42	POS
rant	13	POS
NOT_testosterone	3	POS
NOT_photographed	4	POS
NOT_kant	1	POS
rank	54	POS
pacifier	1	POS
rani	10	POS
rang	12	POS
dazed	8	POS
rand	4	POS
guarner	1	POS
kerkorian	1	POS
mistake	134	POS
spar	2	POS
stein	12	POS
adeptness	1	POS
jackboots	1	POS
hombre	1	POS
spaz	1	POS
yamamura	2	POS
vision	180	POS
dolphs	1	POS
spac	1	POS
NOT_assailant	1	POS
mugged	2	POS
NOT_selve	1	POS
bellied	5	POS
NOT_van	4	POS
spam	2	POS
span	23	POS
hays	11	POS
excused	7	POS
grew	145	POS
reona	1	POS
NOT_stomach	7	POS
sorrento	1	POS
ferris	11	POS
NOT_lights	2	POS
NOT_inclined	4	POS
NOT_warmly	1	POS
distractive	1	POS
grey	96	POS
greg	51	POS
airheadedness	2	POS
snares	1	POS
NOT_anything	353	POS
excuses	14	POS
charictor	1	POS
tastier	1	POS
ferrio	1	POS
auspiciously	1	POS
hillyer	19	POS
farscape	8	POS
bastedo	3	POS
splenda	1	POS
donor	1	POS
weighing	1	POS
horus	2	POS
embassy	4	POS
muddle	2	POS
recruited	8	POS
medication	5	POS
genitals	4	POS
molder	1	POS
cursed	20	POS
billionare	1	POS
tsai	4	POS
exciting	283	POS
blimey	1	POS
wachtang	1	POS
western	335	POS
hempstead	1	POS
NOT_spoof	4	POS
direct	167	POS
curser	1	POS
curses	8	POS
NOT_meddling	1	POS
molded	2	POS
incident	57	POS
believer	9	POS
NOT_spoon	3	POS
bernard	49	POS
journal	8	POS
monstervision	7	POS
NOT_spook	1	POS
tracks	49	POS
highlights	71	POS
gonna	66	POS
trey	21	POS
tuned	30	POS
slicker	5	POS
psychotic	49	POS
tres	2	POS
wagons	1	POS
NOT_stealing	2	POS
NOT_montage	3	POS
currie	23	POS
trek	172	POS
clue	49	POS
directory	1	POS
banzai	6	POS
tree	63	POS
hometown	28	POS
directors	315	POS
robots	41	POS
NOT_scantily	1	POS
godlike	1	POS
briers	6	POS
enforcers	1	POS
ulees	1	POS
effective	323	POS
plausibly	4	POS
highlander	2	POS
NOT_canadian	4	POS
baloo	19	POS
NOT_whom	5	POS
encapsulate	1	POS
NOT_painting	1	POS
arthurs	1	POS
friel	11	POS
NOT_chore	1	POS
NOT_chord	2	POS
violins	1	POS
effortless	18	POS
turnstiles	2	POS
fried	24	POS
whitechapel	2	POS
ishwar	14	POS
private	154	POS
dewaere	8	POS
burl	1	POS
unclear	18	POS
NOT_neal	1	POS
carlucci	1	POS
cigarettes	10	POS
slicked	1	POS
fries	2	POS
NOT_portion	2	POS
parminder	12	POS
plaything	6	POS
companys	1	POS
joies	1	POS
stance	22	POS
uninfected	1	POS
stephen	163	POS
colorful	100	POS
sporchi	1	POS
NOT_blessing	1	POS
hottest	16	POS
gauzy	2	POS
disregarded	3	POS
beggar	3	POS
revel	9	POS
airmen	1	POS
immersed	23	POS
tunes	59	POS
medencevic	1	POS
reenacting	1	POS
NOT_clone	1	POS
mortally	6	POS
rolls	22	POS
rock	484	POS
niccolo	1	POS
immerses	4	POS
mishandled	2	POS
promisingly	3	POS
doctored	2	POS
clipboards	1	POS
lifeline	2	POS
conflicting	13	POS
calculation	1	POS
klieg	1	POS
hitgirl	1	POS
comlex	1	POS
heckling	2	POS
sg1	10	POS
NOT_masquerading	1	POS
amolad	1	POS
bersen	1	POS
NOT_epps	1	POS
bridge	93	POS
aubrey	9	POS
stationmaster	1	POS
crout	1	POS
skeptical	29	POS
backfire	4	POS
economists	1	POS
nipar	2	POS
clift	4	POS
misfits	15	POS
rated	217	POS
mortar	1	POS
NOT_better	204	POS
newman	59	POS
explode	14	POS
shattered	14	POS
disrespectful	6	POS
cliff	55	POS
rates	42	POS
ephemeralness	1	POS
newmar	7	POS
shames	3	POS
diction	8	POS
micah	1	POS
NOT_pollak	1	POS
meaninglessly	1	POS
saidism	1	POS
freddie	8	POS
upswing	1	POS
NOT_potato	2	POS
NOT_lore	1	POS
NOT_lord	7	POS
switch	34	POS
levan	1	POS
atkinmson	1	POS
NOT_ogden	1	POS
privatization	1	POS
cymbal	2	POS
NOT_brilliant	44	POS
NOT_teens	3	POS
youngish	3	POS
womanness	1	POS
swill	1	POS
NOT_kurasowa	1	POS
kassovitz	3	POS
jarhead	1	POS
expansive	7	POS
drecky	1	POS
dante	17	POS
duller	2	POS
NOT_justification	2	POS
warpath	1	POS
NOT_nauseatingly	2	POS
nubb	1	POS
NOT_gotham	1	POS
kida	3	POS
matheron	1	POS
testimonies	1	POS
recognizes	15	POS
evoked	10	POS
NOT_chairman	1	POS
NOT_readers	3	POS
camaraderie	13	POS
cruelly	9	POS
commemorations	1	POS
horrid	9	POS
introspectively	1	POS
evokes	33	POS
recognized	61	POS
NOT_apprehended	1	POS
failed	122	POS
causeway	2	POS
topor	1	POS
empathy	32	POS
ginga	1	POS
satanised	1	POS
hepton	6	POS
donnie	6	POS
macmahone	1	POS
NOT_target	17	POS
scoff	4	POS
contest	46	POS
rueful	1	POS
secret	312	POS
NOT_advances	3	POS
technical	153	POS
NOT_london	4	POS
obsolete	15	POS
bianca	7	POS
NOT_knowingly	1	POS
agust	2	POS
register	14	POS
NOT_advanced	8	POS
belmore	3	POS
stereotype	39	POS
brainiac	3	POS
conflagration	1	POS
exceeded	14	POS
disposing	6	POS
expositional	1	POS
NOT_incidental	2	POS
supurrrrb	1	POS
NOT_most	196	POS
although	1487	POS
tombes	4	POS
NOT_lessen	2	POS
lapses	7	POS
miyazaki	71	POS
NOT_lesser	4	POS
alfrie	1	POS
supervisor	6	POS
marvin	30	POS
test	110	POS
cache	3	POS
brilliant	883	POS
hesitancies	1	POS
annunziata	1	POS
scandanavian	1	POS
unfindable	1	POS
niklas	3	POS
sentimentality	35	POS
